step,time,gps_x,gps_y,gps_z,gps_speed,gyro_x,gyro_y,gyro_z,imu_roll,imu_pitch,imu_yaw,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,radar_targets_count,roof_lidar_min_dist,roof_lidar_max_dist,roof_lidar_mean_dist,camera_red,camera_green,camera_blue,camera_gray,camera_recognition_objects,driver_speed,driver_steering_angle,driver_brake_intensity,collision_detected
77,3.860000,-73.928752,43.691524,0.319792,13.849062,0.007573,-0.025748,0.309770,0.009407,-0.003211,-2.919566,0.001074,0.004852,0.993831,-0.110792,1,16.628344,99.994049,40.915674,35,35,34,34.666666666666664,7,49.435056,-0.066102,0.000000,0
78,3.910000,-74.602335,43.535463,0.317241,13.812431,0.006259,-0.014641,0.324109,0.009728,-0.004357,-2.903777,0.001586,0.005088,0.992923,-0.118637,1,16.458801,99.943298,41.025855,60,60,62,60.666666666666664,7,49.438960,-0.070193,0.000000,0
79,3.960000,-75.272192,43.368837,0.315709,13.814757,0.013728,-0.008497,0.343617,0.010154,-0.005005,-2.887177,0.001838,0.005353,0.991902,-0.126876,1,16.278021,99.957123,41.384785,43,42,43,42.666666666666664,8,49.428080,-0.074320,0.000000,0
80,4.010000,-75.940610,43.190720,0.314812,13.840639,0.018346,-0.002760,0.352927,0.010888,-0.005511,-2.869667,0.001992,0.005767,0.990751,-0.135557,1,16.067101,99.982979,41.464955,18,22,22,20.666666666666668,8,49.434529,-0.074827,0.000000,0
81,4.060000,-76.605556,43.000827,0.315005,13.819424,0.010428,0.010567,0.345027,0.011510,-0.005457,-2.852250,0.001870,0.006088,0.989531,-0.144180,1,15.551654,99.891762,41.450606,16,19,19,18.0,8,49.437569,-0.074054,0.000000,0
82,4.110000,-77.266324,42.799305,0.315953,13.821215,-0.003083,0.012135,0.336578,0.011522,-0.005032,-2.835294,0.001607,0.006078,0.988274,-0.152563,1,15.045701,99.995148,41.372462,25,31,27,27.666666666666668,8,49.432782,-0.072224,0.000000,0
83,4.160000,-77.923900,42.586645,0.316891,13.831756,-0.005808,0.009572,0.349574,0.011021,-0.004639,-2.818283,0.001402,0.005812,0.986943,-0.160961,1,14.589035,99.953293,41.299575,24,27,26,25.666666666666668,8,49.430255,-0.074724,0.000000,0
84,4.210000,-78.578612,42.362709,0.317407,13.840521,0.004195,0.007045,0.362917,0.010905,-0.004461,-2.800459,0.001272,0.005752,0.985470,-0.169750,1,14.113442,99.993881,40.987285,18,21,23,20.666666666666668,8,49.434526,-0.077263,0.000000,0
85,4.260000,-79.228067,42.127469,0.317929,13.799298,0.011319,0.011601,0.372403,0.011218,-0.004154,-2.782136,0.001041,0.005890,0.983873,-0.178771,1,13.690612,99.998077,40.560767,20,22,27,23.0,9,49.436213,-0.080791,0.000000,0
86,4.310000,-79.872228,41.880377,0.318186,13.802109,0.014375,0.005179,0.375591,0.011825,-0.003981,-2.763424,0.000844,0.006181,0.982155,-0.187967,1,11.316685,99.964241,40.145835,16,19,21,18.666666666666668,9,49.433854,-0.080947,0.000000,0
